regime_v53,scenario_row,scenario_loss_v53,eta_v53,excess_loss_v53
tail_first,39,9909.981070473552,12074.783279685807,0.0
tail_first,40,8285.543532852176,12074.783279685807,0.0
tail_first,41,9695.997844142556,12074.783279685807,0.0
tail_first,42,11665.513503348082,12074.783279685807,0.0
tail_first,43,8342.108766410984,12074.783279685807,0.0
tail_first,44,8839.697472671343,12074.783279685807,0.0
tail_first,45,8626.500001992628,12074.783279685807,0.0
tail_first,46,11329.52032395017,12074.783279685807,0.0
tail_first,47,9804.422307198098,12074.783279685807,0.0
tail_first,48,7628.227538304043,12074.783279685807,0.0
tail_first,49,7938.65879756421,12074.783279685807,0.0
tail_first,50,10669.247705399403,12074.783279685807,0.0
tail_first,51,10472.552634131745,12074.783279685807,0.0
tail_first,52,8035.74198187231,12074.783279685807,0.0
tail_first,53,7492.187989158176,12074.783279685807,0.0
tail_first,54,13700.36179933456,12074.783279685807,1625.5785196487523
tail_first,55,8027.327250934932,12074.783279685807,0.0
tail_first,56,6989.828441439277,12074.783279685807,0.0
tail_first,57,9886.982763060245,12074.783279685807,0.0
tail_first,58,11368.952413158524,12074.783279685807,0.0
tail_first,59,8484.672691584443,12074.783279685807,0.0
tail_first,60,9398.635429053356,12074.783279685807,0.0
tail_first,61,11279.319967426029,12074.783279685807,0.0
tail_first,62,10745.116231508648,12074.783279685807,0.0
tail_first,63,9780.153436678718,12074.783279685807,0.0
tail_first,64,6461.8946288876705,12074.783279685807,0.0
tail_first,65,7422.047441027405,12074.783279685807,0.0
tail_first,66,11615.819493351599,12074.783279685807,0.0
tail_first,67,7867.332054532248,12074.783279685807,0.0
tail_first,68,8154.454490921298,12074.783279685807,0.0
tail_first,69,7723.237839228472,12074.783279685807,0.0
tail_first,70,12404.390617459987,12074.783279685807,329.60733777417954
tail_first,71,7898.313717412894,12074.783279685807,0.0
tail_first,72,8355.656996269767,12074.783279685807,0.0
tail_first,73,9859.44561142252,12074.783279685807,0.0
tail_first,74,10597.725037803042,12074.783279685807,0.0
tail_first,75,10284.77223959953,12074.783279685807,0.0
tail_first,76,8685.06576552976,12074.783279685807,0.0
tail_first,77,11250.596671830104,12074.783279685807,0.0
tail_first,78,11237.31891252694,12074.783279685807,0.0
tail_first,79,11543.249104251932,12074.783279685807,0.0
tail_first,80,10426.818100255688,12074.783279685807,0.0
tail_first,81,8298.346033684076,12074.783279685807,0.0
tail_first,82,10288.653968256967,12074.783279685807,0.0
tail_first,83,8420.998562827752,12074.783279685807,0.0
tail_first,84,9537.756855099708,12074.783279685807,0.0
tail_first,85,9375.72550809336,12074.783279685807,0.0
tail_first,86,12358.667977072379,12074.783279685807,283.88469738657113
tail_first,87,9887.761340695322,12074.783279685807,0.0
tail_first,88,7671.604699892443,12074.783279685807,0.0
tail_first,89,6842.919522690191,12074.783279685807,0.0
tail_first,90,12314.311744050257,12074.783279685807,239.52846436444997
tail_first,91,9867.422731141078,12074.783279685807,0.0
tail_first,92,6899.137528444662,12074.783279685807,0.0
tail_first,93,8153.417245700448,12074.783279685807,0.0
tail_first,94,12701.098392754955,12074.783279685807,626.3151130691476
tail_first,95,11580.76835543103,12074.783279685807,0.0
tail_first,96,8463.475497907386,12074.783279685807,0.0
tail_first,97,8203.76815620829,12074.783279685807,0.0
tail_first,98,12449.332653311085,12074.783279685807,374.54937362527744
tail_first,99,12135.883247336793,12074.783279685807,61.09996765098549
tail_first,100,7700.044569637634,12074.783279685807,0.0
tail_first,101,8079.9320572612205,12074.783279685807,0.0
tail_first,102,10945.291118882617,12074.783279685807,0.0
tail_first,103,11096.422945320493,12074.783279685807,0.0
tail_first,104,6714.721827589514,12074.783279685807,0.0
tail_first,105,9533.475666481923,12074.783279685807,0.0
tail_first,106,10567.006626651208,12074.783279685807,0.0
tail_first,107,10525.179670112057,12074.783279685807,0.0
tail_first,108,7982.029879273624,12074.783279685807,0.0
tail_first,109,9023.420226682716,12074.783279685807,0.0
tail_first,110,10928.443648139762,12074.783279685807,0.0
tail_first,111,7030.273933556185,12074.783279685807,0.0
tail_first,112,9171.968770004834,12074.783279685807,0.0
tail_first,113,10005.053258185577,12074.783279685807,0.0
tail_first,114,12020.253791884286,12074.783279685807,0.0
tail_first,115,8469.33579988453,12074.783279685807,0.0
tail_first,116,7324.980011715466,12074.783279685807,0.0
tail_first,117,8808.924899380385,12074.783279685807,0.0
tail_first,118,9823.14428189072,12074.783279685807,0.0
tail_first,119,11055.082259286728,12074.783279685807,0.0
tail_first,120,7865.640192729742,12074.783279685807,0.0
tail_first,121,9142.799207964388,12074.783279685807,0.0
tail_first,122,12680.43612617695,12074.783279685807,605.6528464911426
tail_first,123,9716.168954169983,12074.783279685807,0.0
tail_first,124,7671.37778597544,12074.783279685807,0.0
tail_first,125,7960.988539267712,12074.783279685807,0.0
tail_first,126,10210.332396205764,12074.783279685807,0.0
tail_first,127,10485.456493337411,12074.783279685807,0.0
